Workspace,AMP Activity number,New Department to add,New Municipality to add
Secretaría de Eduación,8717171519259,Olancho,
,8717171519312,Ocotepeque,
Vista Pública,87171352877,Ocotepeque,
,87171352877,Copán,
,87171352877,Lempira,
,87171352878,,
,FAOO007,Choluteca,
,FAOO007,Valle,
,87171122310,Choluteca,
,87171122310,Valle,
,87171125251,Comayagua,
,8717110114508,Santa Bárbara,
,8717110112043,Choluteca,
,8717110112117,Copán,
,8717110112058,Francisco Morazán,
,8717110112042,Cortés,
,8717110112054,El Paraíso,Soledad
,8717110112084,Santa Bárbara,
,8717110112091,La Paz,
,8717110112105,El Paraíso,
,8717110112995,Valle,
,8717110112989,Francisco Morazán,
,8717110112122,Santa Bárbara,San Nicolás
,8717110110195,Comayagua,
,8717110110216,Santa Bárbara,
,8717110112116,Atlántida,
,8717110112924,Colón,
,8717110114533,Choluteca,Marcovia
,8717110114523,Ocotepeque,Fraternidad
,8717110012906,Comayagua,
,871711214839,Choluteca,
,871711214839,Valle,
,87171352458,Ocotepeque,
,87171352458,Copán,
,87171352458,Lempira,
,87171201729,Atlántida,
,87171201729,Cortés,
,87171201729,Colón,
,87171201729,Santa Bárbara,
,8717110012881,Colón,
,8717110012881,Ocotepeque,
,87171122168,Islas de la Bahía,
,87171122168,Choluteca,
,87171122168,Valle,
,871711215393,Choluteca,
,871711215393,Valle,
,871711215405,Choluteca,
,871711215405,Valle,
,871711215392,Comayagua,
,871711215392,Intibucá,
,871711215392,La Paz,
,871711216287,Choluteca,
,871711216287,Valle,
,8717110516868,El Paraíso,
,871714019519,Francisco Morazán,
,8717172819553,Intibucá,"Magdalena, Santa Lucía, San Antonio"
,871714019561,Francisco Morazán,
,871712019910,Francisco Morazán,
,8717110019577,Francisco Morazán,
